"ManufacturerName","Assignment"
"Sensor Switch, Inc.","001EEA"
"Cantronic International Limited","001EEF"
"BYD COMPANY LIMITED","001EDE"
"T&W Electronics (ShenZhen) Co.,Ltd","001EE3"
"WASKO S.A.","001EDD"
"Mitsubishi Precision Co.,LTd.","001ED9 080070"
"Doble Engineering","001ED4"
"Dot Technology Int'l Co., Ltd.","001ED3"
"KYLAND Technology Co. LTD","001ECD"
"Obvius Holdings LLC","001EC6"
"Datron World Communications, Inc.","001FA2"
"DBS Lodging Technologies, LLC","001F91"
"APROTECH CO.LTD","001F96"
"Shanghai Bellmann Digital Source Co.,Ltd.","001F8F"
"Apriva ISS, LLC","001F85"
"Skydigital Inc.","001F87"
"digEcor","001F86"
"Lucas Holding bv","001F80"
"RP-Technik e.K.","001F3E"
"Etherstack plc","001F42"
"Construcciones y Auxiliar de Ferrocarriles, S.A.","001F39"
"Orange Logic","001F2B"
"Starbridge Networks","001F2C"
"Prominvest","001F1A"
"High Density Devices AS","001EBA"
"Primex Wireless","001EB3"
"UNIFAT TECHNOLOGY LTD.","001EB4"
"Datang Mobile Communications Equipment CO.,LTD","001EA8"
"Fidustron INC","001E9C"
"SIGMALINK","001E95"
"Sepura Plc","001E96"
"Infra Access Korea Co., Ltd.","001E8B"
"SHINSEI INDUSTRIES CO.,LTD","001FEF"
"KURUSUGAWA Electronics Industry Inc,.","001FE8"
"Mobile Safe Track Ltd","001FDC"
"TELERAD SA","001FD7"
"NIW Solutions","001FCB"
"HEOL DESIGN","001F77"
"Teraview Technology Co., Ltd.","001F73"
"Talent Communication Networks Inc.","001F61"
"PLANAR LLC","001F66"
"Beckwith Electric Co.","001F5A"
"GEMAC Gesellschaft f?r Mikroelektronikanwendung Chemnitz mbH","001F53"
"ConMed Linvatec","001F4E"
"Lorex Technology Inc.","001F54"
"COMMTECH TECHNOLOGY MACAO COMMERCIAL OFFSHORE LTD.","001FD2"
"Fulhua Microelectronics Corp. Taiwan Branch","001FBF"
"Goodmill Systems Ltd","001FAC"
"LInTech Corporation","00211A"
"Padtec S/A","002113"
"Hylab Technology Inc.","002114"
"Orpak Systems L.T.D.","00210E"
"byd:sign Corporation","00210A"
"Gigaset Communications GmbH","002104 7C2F80"
"Green Packet Bhd","001FFB"
"PS Audio International","001FF6"
"BEN-RI ELECTRONICA S.A.","001F19"
"S.& A.S. Ltd.","001F13"
"Select Engineered Systems","001F0F"
"Microbit 2.0 AB","001EFD"
"Pixelmetrix Corporation Pte Ltd","001F02"
"Gigafin Networks","001EF0"
"Wavetrend Technologies (Pty) Limited","001D2C"
"NAC-INTERCOM","001D27"
"Power Innovation GmbH","001D18"
"NextGTV","001D13"
"MobileCompia","001D0C"
"HM Electronics, Inc.","001D06"
"Eaton Corporation","001D05 001345 001864 002085 000CC1"
"Siemon","001E62"
"Holosys d.o.o.","001E5D"
"Bally Wulff Entertainment GmbH","001E56"
"BATTISTONI RESEARCH","001E50"
"Call Direct Cellular Solutions","001D85"
"Beijing Huahuan Eletronics Co.,Ltd","001D80"
"Thomson Telecom Belgium","001D68 00147F 001F9F 002644 0018F6 000E50 0090D0 0876FF 002417"
"Chainzone Technology Co., Ltd","001D6F"
"Eyeheight Ltd.","001D76"
"Ice Energy, Inc.","001D7B"
"Radioscape PLC","001D75"
"Miele & Cie. KG","001D63"
"Tom Communication Industrial Co.,Ltd.","001D5C"
"ZANTAZ, Inc","001D55"
"Navionics Research Inc., dba SCADAmetrics","001DC8"
"Audinate Pty L","001DC1"
"Dynamic System Electronics Corp.","001DBB"
"SwissQual License AG","001DAB"
"MEL Co.,Ltd.","001E86"
"CBM of America","001E7F"
"Magna-Power Electronics, Inc.","001E6F"
"Cobham Defence Communications Ltd","001E70"
"Thomson Inc.","001E69 001095 0024D1 009064 00189B 002624 0019DF"
"Kramer Electronics Ltd.","001D56"
"SPINETIX SA","001D50"
"Grid Connect Inc.","001D4B"
"Mitron Pty Ltd","001D3F"
"MOOHADIGITAL CO., LTD","001D39"
"mh acoustics LLC","001D3A"
"Maverick Systems Inc.","001D33"
"ZEFATEK Co.,LTD","001E09"
"Hanson Research Corporation","001E04"
"R. STAHL Schaltger?te GmbH","001DF7"
"Webpro Vision Technology Corporation","001DF8"
"Intego Systems, Inc.","001DF1"
"Commtest Instruments Ltd","001DEA"
"C-BEL Corporation","001DDB"
"Hangzhou System Technology CO., LTD","001DA4"
"MATT   R.P.Traczynscy Sp.J.","001D9F"
"MICRO-STAR INT'L CO.,LTD.","001D92 002185"
"Digitize, Inc","001D91"
"La Crosse Technology LTD","001D8C"
"Comsys Communication Ltd.","001E39"
"CryptoMetrics","001E34"
"STIM","001E2D"
"Digifriends Co. Ltd","001E26"
"Best Source Taiwan Inc.","001E1A"
"Syba Tech Limited","001E0A"
"Galaxy  Microsystems LImited","001C61"
"Shenzhen Kaifa Technology Co.","001C55"
"Advanced Relay Corporation","001C5A"
"Bosch Security Systems BV","001C44"
"Gener8, Inc.","001C4B"
"Bio-Rad Laboratories, Inc.","001C38"
"WaveStorm","001C3D"
"International Police Technologies, Inc.","001C3F"
"ECKey Corporation","001C3E"
"Mobile XP Technology Co., LTD","001C31"
"Synapse","001C2C"
"EVS BROADCAST EQUIPMENT","001CF3"
"Media Technology Systems Inc","001CF4"
"ENVIRONNEMENT SA","001CED"
"Optimedical Systems","001CE3"
"Custom Computer Services, Inc.","001CDC"
"Circleone Co.,Ltd.","001CD0"
"Tellink Sistemas de Telecomunicaci?n S.L.","001BF5"
"Value Platforms Limited","001BF0"
"Ultratronik GmbH","001BE8"
"ViaLogy","001BE1"
"Vencer Co., Ltd.","001BDC"
"Measurement Devices Ltd","001BCE"
"LI-COR Biosciences","001C94"
"Alcatel-Lucent IPD","001C8E 7C2064 00233E 6CBEE9 0025BA 24AF4A 001AF0 A0F3E4 002105 0CA402 00164D"
"Mesa Imaging","001C8D"
"TRANSYSTEM INC.","001C88"
"New Level Telecom Co., Ltd.","001C83"
"Perfectone Netware Company Ltd","001C7A"
"Cohesive Financial Technologies LLC","001C79"
"Syswan Technologies Inc.","001C74"
"KYOHRITSU ELECTRONIC INDUSTRY CO., LTD.","001C6D"
"Anhui Sun Create Electronics Co., Ltd","001C68"
"Kaise Electronic Technology Co., Ltd.","001CC9"
"Shanghai Gaozhi Science & Technology Development Co.","001CCA"
"Ezze Mobile Tech., Inc.","001CBD"
"CBC Co., Ltd","001CB8"
"Wuhan Telecommunication Devices Co.,Ltd","001CAD"
"WiChorus, Inc.","001CAE"
"International Quartz Limited","001CA7"
"Production Resource Group, LLC","001CA0"
"FEIG ELECTRONIC GmbH","001C9B"
"Equaline Corporation","001B69"
"IsaacLandKorea Co., Ltd,","001B64"
"Vololink Pty Ltd","001B5D"
"Tehuti Networks Ltd.","001B56"
"Vector Technology Corp.","001B51"
"ABB AS, Division Automation Products","001B45"
"W&W Communications, Inc.","001B4A"
"Beijing DG Telecommunications equipment Co.,Ltd","001B43"
"Curtis, Inc.","001B3E"
"Computec Oy","001B37"
"FSN DISPLAY INC","001BC9"
"Integrated Control Technology Limitied","001BC2"
"Silver Peak Systems, Inc.","001BBC"
"FMC Kongsberg Subsea AS","001BBD"
"Condalo GmbH","001BB3"
"BLUEWAY ELECTRONIC CO;LTD","001BB8"
"Curtiss Wright Controls Embedded Computing","001BAC"
"Intellect International NV","001BB2"
"MyungMin Systems, Inc.","001BA5"
"Awox","001BA0"
"KS System GmbH","001B99"
"Hyperstone GmbH","001C1B"
"Echo360, Inc.","001C08"
"Pano Logic","001C02"
"ABB Oy Drives","001C01"
"Betty TV Technology AG","001C03"
"l-acoustics","001B92"
"Electronic Computer Systems, Inc.","001B8D"
"Divinet Access Technologies Ltd","001B88"
"Finsoft Ltd","001B83"
"A & R Cambridge","001B7C"
"Ripcode, Inc.","001B76"
"Hypermedia Systems","001B75"
"IRI Ubiteq, INC.","001B70"
"Advanced Simulation Technology inc.","001A18"
"Adaptive Micro-Ware Inc.","001A0A"
"OPTIBASE LTD","001A05"
"Angel Electronics Co., Ltd.","001A03"
"SHENZHEN SEECOMM TECHNOLOGY CO.,LTD.","0019FE"
"TDK-Lambda","0019F9"
"Axesstel Inc.","0019ED"
"Convergens Oy Ltd","0019F4"
"TELECOMUNICATION TECHNOLOGIES LTD.","001A79"
"Smarty (HZ) Information Electronics Co., Ltd","001A99"
"ADEC & Parter AG","001A9B"
"Votronic GmbH","001A94"
"Pegasus Technologies Inc.","001A83"
"LN Srithai Comm Ltd.","001A7E"
"Embedded Artists AB","001AF1"
"Woven Systems, Inc.","001AF6"
"Keumbee Electronics Co.,Ltd.","001AEC"
"Mythology Tech Express Inc.","001AE0"
"Mvox Technologies Inc.","001AE5"
"Eletronica Nitron Ltda","001AD2"
"International Broadband Electric Communications, Inc.","001AD9"
"Autocom Products Ltd","001ACB"
"Tidel Engineering LP","001ACD"
"Digital Multimedia Technology Co., Ltd","001A46"
"Dongahelecomm","001A3A"
"intelbras","001A3F 58108C"
"INOCOVA Co.,Ltd","001A41"
"Ziova Coporation","001A2E"
"ASI Communications, Inc.","001A33"
"PChome Online Inc.","001A1D"
"Galaxy Telecom Technologies Ltd","001A24"
"RadarFind Corporation","0019A5"
"GSP SYSTEMS Inc.","0019AC"
"Arrow7 Corporation","0019B1"
"Nifty","00199E"
"NIHON DATA SYSTENS, INC.","0019A0"
"Jorjin Technologies Inc.","001994"
"Alcatel Bell N.V.","00198F"
"Welltrans O&E Technology Co. , Ltd.","0019DA"
"ENENSYS Technologies","0019DC"
"S&C ELECTRIC COMPANY","0019C9"
"Progressive Gaming International","0019CE"
"IP Innovations, Inc.","0019D5"
"Infocrypt Inc.","0019C4"
"Citiway technology Co.,ltd","0019BF"
"New Media Life","0019BD"
"Boundary Devices","0019B8"
"RON-Telecom ZAO","001B26"
"Coherent","001B1C"
"e-trees Japan, Inc.","001B1A"
"Voxtel, Inc.","001B15"
"Matrix Telecom Pvt. Ltd.","001B09"
"InoTec GmbH Organisationssysteme","001B0E"
"Mendocino Software","001B07"
"ED Co.Ltd","001B02"
"Joby Inc.","001AFB"
"Procare International Co","001A74"
"Weltec Enterprise Co., Ltd.","001A68"
"PacStar Corp.","001A61"
"Hip Shing Electronics Ltd.","001A54"
"Ircona","001A59"
"GIGA-BYTE TECHNOLOGY CO.,LTD.","001A4D 74D435 94DE80 001D7D FCAA14 50E549 1C6F65 0016E6 000FEA 902B34 1C1B0D E0D55E 408D5C 6CF049 00241D 001FD0"
"Meshlinx Wireless Inc.","001A52"
"Micro Control Designs","001AC6"
"U4EA Technologies Ltd","001ABC"
"3Com Ltd","001AC1 0016E0 0012A9 000A04 00147C 000BAC 001CC5 000FCB 000E6A 00186E 000D54"
"Signal Networks Pvt. Ltd.,","001AB0"
"Home Network System","001AB5"
"FUJIAN STAR-NET COMMUNICATION CO.,LTD","001AA9 20934D 54F6C5 C40938"
"Encore Software Limited","00183C"
"High Tech Computer Corp","001841"
"Dawevision Ltd","001843"
"Universal ABIT Co., Ltd.","001837"
"Cale Access AB","001826"
"Softier","00182B"
"AVerMedia Information Inc.","00181A"
"Palmmicro Communications","00181F"
"E-TEK DIGITAL TECHNOLOGY LIMITED","001804"
"Fanstel Corp.","001807"
"Optelian Access Networks","00180C"
"PLAYLINE Co.,Ltd.","0017FF"
"Renu Electronics Pvt Ltd","0017F1"
"Harris Corparation","0017F3"
"Motech Industries Inc.","0017F8"
"Monsoon Multimedia, Inc","0017D4"
"AAI Corporation","0017D9"
"KUME electric Co.,Ltd.","001920"
"Intelicis Corporation","001925"
"Welcat Inc","001912"
"Winix Co., Ltd","001914"
"ASTEL Inc.","001919"
"IEEE 1394c","00190D"
"F1MEDIA","001901"
"Shenzhen Streaming Video Technology Company Limited","0018F5"
"Kameleon Technologies","0018F7"
"Altec Electronic AG","0018FC"
"Vivox Inc","001981"
"CCT R&D Limited","001983"
"Beijing Huisen networks technology Inc","001975"
"Riedel Communications GmbH","00197C"
"Z-Com, Inc.","001970 0060B3"
"Doorking Inc.","001964"
"Valemount Networks Corporation","00195F"
"Chainleader Communications Corp.","001953"
"Bluetooth SIG, Inc.","001958"
"Jenaer Antriebstechnik GmbH","00195A"
"JOYTOTO Co., Ltd.","0018F0"
"Numata Corporation","0018E9"
"YIGUANG","0018E4"
"Silicondust Engineering Ltd","0018DD"
"ARCH METER Corporation","0018D8"
"Siemens Home & Office Comm. Devices","0018D1"
"Swirlnet A/S","0018D6"
"AXIOHM SAS","0018CC"
"Real Time Automation","0018C7"
"Neonode AB","00186C"
"Mackware GmbH","001878"
"Datalogic ADC","001867"
"Network Chemistry, Inc","00185B"
"8 Ways Technology Corp.","00184F"
"Argard Co., Ltd","001854"
"EyeFi, Inc","001856"
"Vecima Networks Inc.","001848"
"RF COncepts, LLC","001945"
"Fujian Stelcom information & Technology CO.,Ltd","00194C"
"Rackable Systems","001940"
"TRENDON TOUCH TECHNOLOGY CORP.","001934"
"Gigamips","001939"
"Balluff GmbH","001931"
"Eliwell Controls srl","0018BB"
"Dawon Media Inc.","0018B4"
"NIDEC SANKYO CORPORATION","0018AD"
"AnNeal Technology Inc.","0018A8"
"Weldex Corporation","00189C"
"Tiqit Computers, Inc.","0018A1"
"JESS-LINK PRODUCTS Co., LTD","001897"
"ads-tec GmbH","001892"
"RadioCOM, s.r.o.","001890"
"Fon Technology S.L.","001884 C47130"
"ZODIANET","00187F"
"ZAT a.s.","0016D1"
"BA Systems Inc","0016C3"
"INFRANET, Inc.","0016BE"
"Seoul Commtech","0016B7"
"DriveCam Inc","0016B2"
"VK Corporation","0016B0"
"Dansensor A/S","0016AB"
"Dovado FZ-LLC","0016A6"
"iMCA-GmbH","0017CF"
"KTF Technologies Inc.","0017C3"
"Tonze Technology Co.","0017B7"
"Touchtunes Music Corporation","0017BC"
"Peerless Systems Corporation","0017B5"
"Summit Data Communications","001723"
"NT MicroSystems, Inc.","00171C"
"Casa Systems Inc.","001710"
"Qstik","001715"
"Leica Geosystems AG","001717"
"Contela, Inc.","00170B"
"Wamin Optocomm Mfg Corp","0016FF"
"Elesta GmbH","001774"
"QuickTel","001779"
"Azalea Networks inc","00177B"
"ATMedia GmbH","001764"
"Accense Technology, Inc.","001766"
"XENOLINK Communications Co., Ltd.","00175F"
"Online Corporation","001751"
"ThruVision Ltd","001758"
"INNOTZ CO., Ltd","001745"
"Millipore","00174C"
"Apricorn","00179F"
"Sentivision","0017A9"
"Tigi Corporation","001793"
"Independent Witness, Inc","00178C"
"Gunnebo Cash Automation AB","00178E"
"Applied Biosystems B.V.","001780"
"Brother, Brother & Sons ApS","001787"
"Kiyon, Inc.","00176B"
"Biometric Access Company","00BAC0"
"Bury GmbH & Co. KG","001673"
"Symphox Information Co.","001671"
"Cellon France","001665"
"TPS","00166A"
"Precision I/O","00165E"
"Aegate Ltd","001657"
"Z.M.P. RADWAG","001659"
"Fusiontech Technologies Inc.","001658"
"Hoatech Technologies, Inc.","001652"
"Quorion Data Systems GmbH","00164B"
"Bluberi Gaming Technologies Inc","001740"
"iiTron Inc.","001736"
"NeuLion Incorporated","00172F"
"Selex Communications","001728"
"Proware Technology Corp.(By Unifosa)","00172A"
"Quadrics Ltd","00169A"
"3Leaf Networks","0016A1"
"PowerLink Technology Inc.","001693"
"AVC Technology (International) Limited","001695"
"Vimicro corporation","00168E"
"Pro Dex, Inc","001682"
"Chubb CSC-Vendor AP","001687"
"Haver&Boecker","00167B"
"CAST Information Co., Ltd","0016F3"
"Royaldigital Inc.","0016EE"
"Dynamix Promotions Limited","0016E7"
"TDA Tech Pty Ltd","0016D6"
"Ethernet Powerlink Standardization Group (EPSG)","00151E"
"Chamberlain Access Solutions","001525"
"StoreAge Networking Technologies","001519"
"Shenzhen 10MOONS Technology Development CO.,Ltd","001518"
"Hu Zhou NAVA Networks&Electronics Ltd.","001514"
"OPENBRAIN TECHNOLOGIES CO., LTD.","00150E"
"mingjong","00150F"
"Hoana Medical, Inc.","00150D"
"Global Target Enterprise Inc","001508"
"Extandon, Inc.","0014FC"
"LexBox","001501"
"OSI Security Devices","0014F5"
"Nortech International","0014E9"
"Western Digital Technologies, Inc.","0014EE"
"HI-P Tech Corporation","0014DF"
"infinias, LLC","0014E4"
"SEPSA","0014D3"
"bio-logic SA","0014D8"
"Kyuden Technosystems Corporation","0014D2"
"Ericsson","0015E0 00023B 003088 001067 D0F0DB 000D67"
"KT&C Co., Ltd.","0015DC"
"NICEVT","0015D5"
"Reti Corporation","0015D7"
"OSLiNK Sp. z o.o.","0015D6"
"FLOVEL CO., LTD.","0015C4"
"Gumstix, Inc","0015C9"
"Group 4 Technology Ltd","0015BD"
"ShinMaywa Industries, Ltd.","0015B6"
"MAKUS Inc.","001581 000D84"
"Perfisans Networks Corp.","00156B"
"GreenPeak Technologies","00155F"
"BEHRINGER Spezielle Studiotechnik GmbH","001564"
"Morgan Stanley","00155E"
"FOXCONN","001558 00016C"
"RadioPulse Inc.","001551"
"Dixtal Biomedica Ind. Com. Ltda","001549"
"Saunders Electronics","00154C"
"WANSHIH ELECTRONIC CO., LTD","00154A"
"ELIM PRODUCT CO.","00153D"
"coM.s.a.t. AG","001544"
"KOCOM","001531"
"RFID, Inc.","001538"
"Innovative Wireless Technologies, Inc.","00161D"
"e:cue","00161C"
"LPL  DEVELOPMENT S.A. DE C.V","00160C"
"Altecon Srl","001611"
"Otsuka Electronics Co., Ltd.","001612"
"YORKVILLE SOUND INC.","001605"
"CelleBrite Mobile Synchronization","001600"
"Fulcrum Microsystems, Inc.","0015ED"
"Picochip Ltd","0015E1"
"MOBILE TECHNIKA Inc.","0015E6"
"Ambient Corporation","0015B1"
"Capelon AB","0015AC"
"Robatech AG","0015A7"
"BIXOLON CO.,LTD","001594"
"Jennic Ltd","00158D"
"Salutica Allied Solutions Sdn Bhd","001588"
"Zetec, Inc.","0014CC"
"Symstream Technology Group Ltd","0014C0"
"Alive Technologies Pty Ltd","0014C5"
"MSTAR SEMICONDUCTOR","0014B9"
"Datasym POS Inc.","0014AF"
"Rebox B.V.","00163C"
"Space Shuttle Hi-Tech Co., Ltd.","00162E"
"Nivus GmbH","001629"
"BBH SYSTEMS GMBH","001622"
"BROWAN COMMUNICATION INC.","001616"
"Micronet Corporation","00161B"
"PanelLink Cinema, LLC","00135B"
"ShinHeung Precision Co., Ltd.","001362"
"Niles Audio Corporation","001351"
"Engim, Inc.","00134A"
"MetaSwitch","00133E"
"Phoenix Digital","00132B"
"Beijing Topsec Network Security Technology Co., Ltd.","001332"
"Orient Power Home Network Ltd.","001337"
"FRESENIUS-VIAL","001338"
"Netvox Technology Co., Ltd.","00137A"
"CHIPS & Systems, Inc.","001381"
"ABB Inc./Totalflow","001386"
"Atheros Communications, Inc.","001374 00037F"
"Techmetro Corp.","00136E"
"BLwave Electronics Co., Ltd","001373"
"Narayon. Co., Ltd.","001367"
"Biospace Co., Ltd.","001361"
"Soyal Technology Co., Ltd.","001357"
"ECM Systems Ltd","001326"
"Cortina Systems Inc","001325"
"BeCell Innovations Corp.","00131B"
"LiteTouch, Inc.","00131C"
"Ocean Broadband Networks","001309"
"Focusrite Audio Engineering Limited","00130E"
"PLANET System Co.,LTD","0012FC"
"MDK CO.,LTD.","0012F6"
"IFOTEC","0012F1"
"AirLink Communications, Inc.","00143E"
"GSTeletech Co.,Ltd.","001437"
"ViPowER, Inc","001430"
"Edata Communication Inc.","00142B"
"Merry Electrics CO., LTD.","001424"
"SunKwang Electronics Co., Ltd","00141F"
"DEICY CORPORATION","00141A"
"Trebing & Himstedt Proze?automation GmbH & Co. KG","001413"
"Intec Automation inc.","001415"
"Jumpnode Systems LLC.","001414"
"OpenIB, Inc.","001405"
"FIRST INTERNATIONAL COMPUTER, INC.","00140B"
"GRANDTEC ELECTRONIC CORP.","0013FE"
"Cavera Systems","0013F9"
"Klas Ltd","0013F2"
"Netsnapper Technologies SARL","0013EC"
"Iprobe AB","0013E1"
"GeoVision Inc.","0013E2"
"RuggedCom","0013D5"
"IBTEK INC.","0013DC"
"t+ Medical Ltd","0013D0"
"Zenitel Norway AS","0013CB"
"OpenGear, Inc","0013C6"
"LIGHTRON FIBER-OPTIC DEVICES INC.","0013C5"
"Smartvue Corporation","0013BB"
"Media System Planning Corp.","0013BF"
"Wavesat","0013B5"
"Radiance Technologies, Inc.","0013AE"
"MaxStream, Inc","0013A2"
"ioIMAGE Ltd.","00139B"
"Exavera Technologies, Inc.","00139C"
"Acbel Polytech Inc.","001396"
"QINGDAO GOERTEK ELECTRONICS CO.,LTD.","00138A"
"Redes de Telefon?a M?vil S.A.","001389"
"HF Company","00149C"
"Vitelec BV","0014A3"
"ZHIYUAN Eletronics co.,ltd.","001497"
"Phonic Corp.","001496"
"ASP Corporation","001490"
"B15402100 - JANDEI, S.L.","001489"
"Cermate Technologies Inc.","001484"
"Eubus GmbH","00147A"
"Bookham Inc","001473"
"ArrowSpan Inc.","001467"
"Kyocera Wireless Corp.","001460 001FBD"
"SeekerNet Inc.","00145B"
"Neratec Solutions AG","00145A"
"Moram Co., Ltd.","001459"
"Symwave","001454"
"Consultronics Europe Ltd","001443"
"Taiwan Thick-Film Ind. Corp.","00144A"
"Terminales de Telecomunicacion Terrestre, S.L.","0011C4"
"MTT Corporation","0011C9"
"AESYS S.p.A.","0011BF"
"Liebherr - Elektronik GmbH","0011B8"
"Simtec Electronics","0011AC"
"BlueExpert Technology Corp.","0011B1"
"2001 Technology Inc.","0011B2"
"Vtech Engineering Canada Ltd","0011A0"
"Fortuna Electronic Corp.","0011A5"
"CG Power Systems Ireland Limited","001276"
"Rayson Technology Co., Ltd.","00126F"
"NGES Denro Systems","001270"
"OPTOELECTRONICS Co., Ltd.","00126A"
"Data Voice Technologies GmbH","001263"
"CAEN","00125E"
"CyberNet Inc.","00125D"
"THERMO ELECTRON KARLSRUHE","001259"
"Spectra Technologies Holdings Company Ltd","001254"
"AudioDev AB","001253"
"First International Computer do Brasil","00129D"
"KWS Computersysteme GmbH","001291"
"Addlogix","001296"
"Montilio","00128F"
"Qovia","001282"
"Advance Sterilization Products","001289"
"MobileAria","00127D"
"woori-net","0011F4"
"Estari, Inc.","0011EE"
"802 Global","0011ED"
"Tixi.Com","0011E8"
"Land-Cellular Corporation","0011DB"
"Glunz & Jensen","0011DC"
"Arcelik A.S","0011E1"
"Ubisense Limited","0011CE"
"Hangzhou Sunyard System Engineering Co.,Ltd.","0011D5"
"T.O.M TECHNOLOGY INC..","001246"
"Inducon BV","00124D"
"a2i marketing center","001241"
"Posystech Inc., Co.","00123A"
"Camille Bauer","001234"
"VTech Telecommunications Ltd.","00122A C468D0 14AEDB"
"Signal Technology - AISD","00122E"
"JRC TOKKI Co.,Ltd.","001233"
"2wcom Systems GmbH","001199"
"EUTECH INSTRUMENTS PTE. LTD.","00118F"
"Datalogic ADC, Inc.","001183"
"e-zy.net","00117C"
"Intellambda Systems, Inc.","001176"
"HotLava Systems, Inc.","0012C0"
"Vialta, Inc.","0012B5"
"Echolab LLC","0012BC"
"Santa Barbara Infrared, Inc.","0012B6"
"Efore Oyj   (Plc)","0012B0"
"ThingMagic, LLC","0012A4"
"Trust International B.V.","0012A3"
"NexQL Corporation","001224"
"BroadEasy Technologies Co.,Ltd","001229"
"Netfabric Corporation","00121D"
"Protechna Herbst GmbH & Co. KG","001211"
"ARUZE Corporation","001218"
"Terrasat Communications, Inc.","001205"
"Emerson Climate Technologies GmbH","00120A"
"Keiyo System Research, Inc.","0011FE"
"AIRAYA Corp","0011F8"
"Movacolor b.v.","0012EC"
"Time America, Inc.","0012E5"
"Codan Limited","0012E0"
"Novomatic AG","0012DF"
"TGC America, Inc","0012C6"
"ASEM SpA","0012CD"
"GW TECHNOLOGIES CO.,LTD.","000FE9"
"SORDIN AB","000FDD"
"Sarotech Co., Ltd","000FD6"
"3Com Corporation","002654 005004 0020AF 000A5E 02608C 00068C 000103 0050DA 00104B 006097 006008 00A024 00608C 000102 00D0D8 00105A 02C08C"
"ASTRI","000FD0"
"DataWind Research","000FCF"
"PalmPalm Technology, Inc.","000FC3"
"Assurance Technology Corp","001144"
"JL Corporation","00113E"
"UNATECH. CO.,LTD","001131"
"AICHI ELECTRIC CO., LTD.","001137"
"iPulse Systems","00112D"
"Appointech, Inc.","001123"
"Hectrix Limited","00111D"
"ADDI-DATA GmbH","000F6C"
"GateWare Communications GmbH","000F6B"
"Nicety Technologies Inc. (NTS)","000F5F"
"Peribit Networks","000F5A"
"Solarflare Communications Inc","000F53 000A68"
"ROBOX SPA","000F47"
"Elextech INC","000F4C"
"GSC SRL","001170"
"EMS Satcom","001169"
"ACARD Technology Corp.","001164"
"ITX Security Co., Ltd.","00115F"
"Ivoclar Vivadent AG","00115A"
"MATISSE NETWORKS INC","001159"
"Trident Tek, Inc.","001153"
"Belkin Corporation","001150"
"Mykotronx","001151"
"KAYABA INDUSTRY Co,.Ltd.","00114A"
"Maxanna Technology Co., Ltd.","001110"
"CESNET","001117"
"TELEXY","001104"
"Franklin Technology Systems","00110B"
"Schneider Electric","001100 000054"
"Thales e-Transactions GmbH","000FEF"
"Sunray Co. Ltd.","000FF0"
"GN&S company","000FF5"
"A-JIN TECHLINE CO, LTD","000FCA"
"MRV Communications (Networks) LTD","000FBD A46032 3CA72B"
"e-w/you Inc.","000FBE"
"Cavium","000FB7"
"Sprecher Automation GmbH","000FA4"
"Kyushu Electronics Systems Inc.","000FAB"
"DisplayLink (UK) Ltd","000F9D"
"Avamax Co. Ltd.","000F98"
"Orion MultiSystems Inc","000F8B"
"Gigawavetech Pte Ltd","000F8C"
"Aerotelecom Co.,Ltd.","000F91"
"Ablerex Electronics Co., LTD","000F7E"
"ADDO-Japan Corporation","000F85"
"Sandburst","000F72"
"Bluetooth Interest Group Inc.","000F79"
"Boston Scientific","000F19"
"Hunt Electronic Co., Ltd.","000F0D"
"DIGITALKS INC","000F01"
"Optoway Technology Incorporation","000EFA"
"Smarthome","000EF3"
"Muco Industrie BV","000EEE"
"AAC ELECTRONICS CORP.","000EE7"
"Netstar","000F38"
"Optical Internetworking Forum","000F40"
"DUALi Inc.","000F33"
"Uplogix, Inc.","000F2C"
"WorldAccxx  LLC","000F26"
"AimValley B.V.","000F25"
"Nisca corporation","000F13"
"Mindray Co., Ltd.","000F14"
"ExtremeSpeed Inc.","000EE1"
"XiNCOM Corp.","000EDB"
"Custom Engineering","000EE2"
"COPAN Systems Inc.","000ED5"
"YOKO Technology Corp.","000EC9"
"Privaris, Inc.","000ED0"
"Iskra Transmission d.d.","000EC4"
"Logic Controls, Inc.","000EC3"
"Burdick, a Quinton Compny","000EBD"
"Newcotech,Ltd","000EB1"
"S.A.Tehnology co.,Ltd.","000DAA"
"NEDAP N.V.","000DA0"
"RF Micro Devices","000D9F"
"INFOTEC LTD","000D9A"
"Prosoft Technology, Inc","000D8D"
"Koden Electronics Co., Ltd.","000D8E"
"Sanmina-SCI Hungary  Ltd.","000D83"
"Hokuto Denshi Co,. Ltd.","000D76"
"Afco Systems","000D7D"
"tecna elettronica srl","000E51"
"Bermai Inc.","000E4C"
"atrium c and i","000E4B"
"Sun Optronics Inc","000E3E"
"Beijing Newtry Electronic Technology Ltd","000E45"
"Kontron Medical","000E32"
"Safari Technologies","000E2B"
"Netcodec co.","000E2C"
"TCL Networks Equipment Co., Ltd.","000E1F"
"Gincom Technology Corp.","000E26"
"JPS Communications","000E1A"
"LogicaCMG Pty Ltd","000E19"
"Accu-Sort Systems inc.","000E13"
"ERMME","000E0F"
"WIRELESS MATRIX CORP.","000E05"
"Team Simoco Ltd","000E06"
"Netac Technology Co., Ltd.","000E0B"
"ORGA Kartensysteme GmbH","000DF8"
"CHENMING MOLD INDUSTRY CORP.","000DFF"
"Asmax Solutions","000DF3"
